frame,x1,y1,x2,y2,conf
481,80.67,549.48,98.98,583.45,0.684
482,38.49,560.1,56.95,594.77,0.681
483,35.74,566.02,53.71,600.51,0.669
484,32.99,571.93,50.48,606.26,0.657
485,30.24,577.85,47.25,612.0,0.645
486,27.49,583.76,44.01,617.75,0.633
487,24.74,589.68,40.78,623.49,0.622
488,21.99,595.6,37.55,629.24,0.61
489,19.24,601.51,34.31,634.98,0.598
490,16.49,607.43,31.08,640.73,0.586
491,13.75,613.34,27.85,646.47,0.574
492,11.0,619.26,24.61,652.22,0.563
493,8.25,625.18,21.38,657.97,0.551
494,5.5,631.09,18.15,663.71,0.539
495,2.75,637.01,14.91,669.46,0.527
496,0.0,642.93,11.68,675.2,0.515
497,60.95,621.06,73.39,652.58,0.539
498,121.91,599.18,135.09,629.97,0.563
499,182.86,577.31,196.8,607.35,0.587
500,243.81,555.44,258.51,584.73,0.611
501,304.77,533.57,320.22,562.11,0.636
502,365.72,511.7,381.92,539.5,0.66
503,426.67,489.83,443.63,516.88,0.684
504,487.63,467.96,505.34,494.26,0.708
505,548.58,446.09,567.05,471.65,0.732
506,609.53,424.22,628.75,449.03,0.756
507,560.49,428.2,578.79,453.77,0.772
508,511.44,432.18,528.83,458.52,0.789
509,462.39,436.15,478.87,463.26,0.806
510,464.88,436.22,482.85,465.98,0.779
511,466.43,437.53,483.02,464.95,0.681
512,467.98,438.85,483.19,463.91,0.583
513,467.76,480.25,488.08,512.96,0.818
514,456.5,432.25,478.44,470.57,0.836
515,459.6,433.33,477.48,463.48,0.815
516,464.34,471.61,481.15,498.44,0.758
517,467.03,439.21,484.66,468.48,0.78
518,467.33,440.66,485.54,470.94,0.776
519,467.64,442.12,486.43,473.41,0.773
520,467.95,443.58,487.31,475.87,0.769
521,468.25,445.04,488.2,478.33,0.766
522,465.8,447.74,484.64,480.12,0.782
523,461.75,448.36,478.1,477.14,0.733
524,476.45,418.48,492.84,446.99,0.737
525,491.15,388.6,507.58,416.84,0.741
526,505.85,358.73,522.32,386.69,0.745
527,520.55,328.85,537.07,356.54,0.75
528,535.25,298.97,551.81,326.39,0.754
529,549.96,269.09,566.55,296.25,0.758
530,564.66,239.21,581.29,266.1,0.762
531,579.36,209.33,596.03,235.95,0.767
532,594.06,179.45,610.77,205.8,0.771
533,621.09,266.06,637.73,292.76,0.709
534,648.12,352.67,664.68,379.72,0.647
535,675.15,439.27,691.64,466.67,0.585
536,702.17,525.88,718.59,553.63,0.523
537,706.59,505.25,723.33,532.67,0.526
538,711.01,484.61,728.08,511.71,0.528
539,715.43,463.98,732.82,490.75,0.531
540,719.85,443.34,737.57,469.79,0.534
541,724.26,422.7,742.31,448.83,0.537
542,728.68,402.07,747.05,427.87,0.54
543,733.1,381.43,751.8,406.91,0.543
544,737.52,360.8,756.54,385.95,0.546
545,723.64,366.56,740.5,391.72,0.743
546,713.67,368.79,731.03,396.92,0.765
547,708.95,371.96,725.42,398.24,0.748
548,696.37,408.13,713.53,435.61,0.787
549,683.79,444.3,701.65,472.99,0.825
550,671.21,480.48,689.76,510.37,0.864
551,678.64,441.49,696.28,469.29,0.847
552,686.08,402.5,702.8,428.21,0.829
553,693.52,363.52,709.32,387.13,0.812
554,690.99,354.82,707.83,379.84,0.77
555,688.46,346.13,706.34,372.55,0.727
556,685.22,344.1,701.11,368.33,0.646
557,684.91,343.25,700.16,367.21,0.758
558,684.83,341.23,699.25,364.83,0.742
559,685.22,341.76,699.16,362.98,0.517
560,660.66,354.5,675.07,376.67,0.536
561,636.1,367.25,650.98,390.35,0.555
562,611.54,379.99,626.9,404.04,0.573
563,586.98,392.73,602.81,417.72,0.592
564,562.42,405.48,578.72,431.4,0.611
565,537.86,418.22,554.64,445.09,0.63
566,513.3,430.97,530.55,458.77,0.649
567,488.74,443.71,506.46,472.46,0.668
568,464.17,456.45,482.38,486.14,0.686
569,463.95,439.48,481.92,466.78,0.728
570,464.89,489.64,483.46,515.35,0.78
571,464.48,437.19,484.88,466.06,0.815
572,465.62,421.47,479.85,446.28,0.524
573,461.91,437.4,479.68,465.45,0.771
574,465.9,511.48,486.15,544.74,0.783
575,465.89,445.8,482.8,472.3,0.708
576,468.99,444.94,486.32,472.73,0.684
577,473.64,435.98,490.69,462.7,0.732
578,479.75,420.78,496.24,448.0,0.718
579,474.65,412.03,490.46,438.05,0.691
580,469.54,403.27,484.67,428.11,0.665
581,464.44,394.51,478.89,418.17,0.639
582,459.33,385.75,473.1,408.22,0.612
583,454.23,376.99,467.32,398.28,0.586
584,449.12,368.23,461.53,388.34,0.559
585,451.39,390.93,464.43,416.93,0.546
586,511.0,387.13,524.35,413.07,0.565
587,570.62,383.33,584.27,409.22,0.584
588,630.24,379.53,644.19,405.36,0.603
589,689.86,375.73,704.12,401.51,0.623
590,749.48,371.94,764.04,397.66,0.642
591,809.09,368.14,823.96,393.8,0.661
592,868.71,364.34,883.88,389.95,0.68
593,928.33,360.54,943.8,386.09,0.699
594,987.95,356.74,1003.72,382.24,0.718
595,992.21,360.85,1009.58,388.55,0.692
